eBird Location codes:,,,,,,,,
1,"""US-VI-030:St. Thomas Island"",",,,0,US-,AL-,000,:Autauga County
2,"""US-VI-020:St. John Island"",",,,3,US-,AL-,003,:Baldwin County
3,"""US-VI-010:St. Croix Island"",",,,5,US-,AL-,005,:Barbour County
4,"""US-UM-300:Midway Islands"",",,,7,US-,AL-,007,:Bibb County
5,"""US-PR-153:Yauco Municipio"",",,,9,US-,AL-,009,:Blount County
6,"""US-PR-151:Yabucoa Municipio"",",,,11,US-,AL-,011,:Bullock County
7,"""US-PR-149:Villalba Municipio"",",,,13,US-,AL-,013,:Butler County
8,"""US-PR-147:Vieques Municipio"",",,,15,US-,AL-,015,:Calhoun County
9,"""US-PR-145:Vega Baja Municipio"",",,,17,US-,AL-,017,:Chambers County
10,"""US-PR-143:Vega Alta Municipio"",",,,19,US-,AL-,019,:Cherokee County
11,"""US-PR-141:Utuado Municipio"",",,,21,US-,AL-,021,:Chilton County
12,"""US-PR-139:Trujillo Alto Municipio"",",,,23,US-,AL-,023,:Choctaw County
13,"""US-PR-137:Toa Baja Municipio"",",,,25,US-,AL-,025,:Clarke County
14,"""US-PR-135:Toa Alta Municipio"",",,,27,US-,AL-,027,:Clay County
15,"""US-PR-133:Santa Isabel Municipio"",",,,29,US-,AL-,029,:Cleburne County
16,"""US-PR-131:San Sebastian Municipio"",",,,31,US-,AL-,031,:Coffee County
17,"""US-PR-129:San Lorenzo Municipio"",",,,33,US-,AL-,033,:Colbert County
18,"""US-PR-127:San Juan Municipio"",",,,35,US-,AL-,035,:Conecuh County
19,"""US-PR-125:San German Municipio"",",,,37,US-,AL-,037,:Coosa County
20,"""US-PR-123:Salinas Municipio"",",,,39,US-,AL-,039,:Covington County
21,"""US-PR-121:Sabana Grande Municipio"",",,,41,US-,AL-,041,:Crenshaw County
22,"""US-PR-119:Rio Grande Municipio"",",,,43,US-,AL-,043,:Cullman County
23,"""US-PR-117:Rincon Municipio"",",,,45,US-,AL-,045,:Dale County
24,"""US-PR-115:Quebradillas Municipio"",",,,47,US-,AL-,047,:Dallas County
25,"""US-PR-113:Ponce Municipio"",",,,49,US-,AL-,049,:DeKalb County
26,"""US-PR-111:Penuelas Municipio"",",,,51,US-,AL-,051,:Elmore County
27,"""US-PR-109:Patillas Municipio"",",,,53,US-,AL-,053,:Escambia County
28,"""US-PR-107:Orocovis Municipio"",",,,55,US-,AL-,055,:Etowah County
29,"""US-PR-105:Naranjito Municipio"",",,,57,US-,AL-,057,:Fayette County
30,"""US-PR-103:Naguabo Municipio"",",,,59,US-,AL-,059,:Franklin County
31,"""US-PR-101:Morovis Municipio"",",,,61,US-,AL-,061,:Geneva County
32,"""US-PR-099:Moca Municipio"",",,,63,US-,AL-,063,:Greene County
33,"""US-PR-097:Mayaguez Municipio"",",,,65,US-,AL-,065,:Hale County
34,"""US-PR-095:Maunabo Municipio"",",,,67,US-,AL-,067,:Henry County
35,"""US-PR-093:Maricao Municipio"",",,,69,US-,AL-,069,:Houston County
36,"""US-PR-091:Manati Municipio"",",,,71,US-,AL-,071,:Jackson County
37,"""US-PR-089:Luquillo Municipio"",",,,73,US-,AL-,073,:Jefferson County
38,"""US-PR-087:Loiza Municipio"",",,,75,US-,AL-,075,:Lamar County
39,"""US-PR-085:Las Piedras Municipio"",",,,77,US-,AL-,077,:Lauderdale County
40,"""US-PR-083:Las Marias Municipio"",",,,79,US-,AL-,079,:Lawrence County
41,"""US-PR-081:Lares Municipio"",",,,81,US-,AL-,081,:Lee County
42,"""US-PR-079:Lajas Municipio"",",,,83,US-,AL-,083,:Limestone County
43,"""US-PR-077:Juncos Municipio"",",,,85,US-,AL-,085,:Lowndes County
44,"""US-PR-075:Juana Diaz Municipio"",",,,87,US-,AL-,087,:Macon County
45,"""US-PR-073:Jayuya Municipio"",",,,89,US-,AL-,089,:Madison County
46,"""US-PR-071:Isabela Municipio"",",,,91,US-,AL-,091,:Marengo County
47,"""US-PR-069:Humacao Municipio"",",,,93,US-,AL-,093,:Marion County
48,"""US-PR-067:Hormigueros Municipio"",",,,95,US-,AL-,095,:Marshall County
49,"""US-PR-065:Hatillo Municipio"",",,,97,US-,AL-,097,:Mobile County
50,"""US-PR-063:Gurabo Municipio"",",,,99,US-,AL-,099,:Monroe County
51,"""US-PR-061:Guaynabo Municipio"",",,,101,US-,AL-,101,:Montgomery County
52,"""US-PR-059:Guayanilla Municipio"",",,,103,US-,AL-,103,:Morgan County
53,"""US-PR-057:Guayama Municipio"",",,,105,US-,AL-,105,:Perry County
54,"""US-PR-055:Guanica Municipio"",",,,107,US-,AL-,107,:Pickens County
55,"""US-PR-054:Florida Municipio"",",,,109,US-,AL-,109,:Pike County
56,"""US-PR-053:Fajardo Municipio"",",,,111,US-,AL-,111,:Randolph County
57,"""US-PR-051:Dorado Municipio"",",,,113,US-,AL-,113,:Russell County
58,"""US-PR-049:Culebra Municipio"",",,,115,US-,AL-,115,:St. Clair County
59,"""US-PR-047:Corozal Municipio"",",,,117,US-,AL-,117,:Shelby County
60,"""US-PR-045:Comerio Municipio"",",,,119,US-,AL-,119,:Sumter County
61,"""US-PR-043:Coamo Municipio"",",,,121,US-,AL-,121,:Talladega County
62,"""US-PR-041:Cidra Municipio"",",,,123,US-,AL-,123,:Tallapoosa County
63,"""US-PR-039:Ciales Municipio"",",,,125,US-,AL-,125,:Tuscaloosa County
64,"""US-PR-037:Ceiba Municipio"",",,,127,US-,AL-,127,:Walker County
65,"""US-PR-035:Cayey Municipio"",",,,129,US-,AL-,129,:Washington County
66,"""US-PR-033:Catano Municipio"",",,,131,US-,AL-,131,:Wilcox County
67,"""US-PR-031:Carolina Municipio"",",,,133,US-,AL-,133,:Winston County
68,"""US-PR-029:Canovanas Municipio"",",,,13,US-,AK-,013,:Aleutians East Borough
69,"""US-PR-027:Camuy Municipio"",",,,16,US-,AK-,016,:Aleutians West Census Area
70,"""US-PR-025:Caguas Municipio"",",,,20,US-,AK-,020,:Anchorage Municipality
71,"""US-PR-023:Cabo Rojo Municipio"",",,,50,US-,AK-,050,:Bethel Census Area
72,"""US-PR-021:Bayamon Municipio"",",,,60,US-,AK-,060,:Bristol Bay Borough
73,"""US-PR-019:Barranquitas Municipio"",",,,68,US-,AK-,068,:Denali Borough
74,"""US-PR-017:Barceloneta Municipio"",",,,70,US-,AK-,070,:Dillingham Census Area
75,"""US-PR-015:Arroyo Municipio"",",,,90,US-,AK-,090,:Fairbanks North Star Borough
76,"""US-PR-013:Arecibo Municipio"",",,,100,US-,AK-,100,:Haines Borough
77,"""US-PR-011:Anasco Municipio"",",,,105,US-,AK-,105,:Hoonah-Angoon Census Area
78,"""US-PR-009:Aibonito Municipio"",",,,110,US-,AK-,110,:Juneau City and Borough
79,"""US-PR-007:Aguas Buenas Municipio"",",,,122,US-,AK-,122,:Kenai Peninsula Borough
80,"""US-PR-005:Aguadilla Municipio"",",,,130,US-,AK-,130,:Ketchikan Gateway Borough
81,"""US-PR-003:Aguada Municipio"",",,,150,US-,AK-,150,:Kodiak Island Borough
82,"""US-PR-001:Adjuntas Municipio"",",,,164,US-,AK-,164,:Lake and Peninsula Borough
83,"""US-MP-120:Tinian Municipality"",",,,170,US-,AK-,170,:Matanuska-Susitna Borough
84,"""US-MP-110:Saipan Municipality"",",,,180,US-,AK-,180,:Nome Census Area
85,"""US-MP-100:Rota Municipality"",",,,185,US-,AK-,185,:North Slope Borough
86,"""US-MP-085:Northern Islands Municipality"",",,,188,US-,AK-,188,:Northwest Arctic Borough
87,"""US-GU-010:Guam"",",,,195,US-,AK-,195,:Petersburg Census Area
88,"""US-AS-050:Western District"",",,,198,US-,AK-,198,:Prince of Wales-Hyder Census Area
89,"""US-AS-040:Swains Island"",",,,220,US-,AK-,220,:Sitka City and Borough
90,"""US-AS-030:Rose Island"",",,,230,US-,AK-,230,:Skagway Municipality
91,"""US-AS-020:Manu'a District"",",,,240,US-,AK-,240,:Southeast Fairbanks Census Area
92,"""US-AS-010:Eastern District"",",,,261,US-,AK-,261,:Valdez-Cordova Census Area
93,"""US-WY-045:Weston County"",",,,270,US-,AK-,270,:Wade Hampton Census Area
94,"""US-WY-043:Washakie County"",",,,275,US-,AK-,275,:Wrangell City and Borough
95,"""US-WY-041:Uinta County"",",,,282,US-,AK-,282,:Yakutat City and Borough
96,"""US-WY-039:Teton County"",",,,290,US-,AK-,290,:Yukon-Koyukuk Census Area
97,"""US-WY-037:Sweetwater County"",",,,1,US-,AZ-,001,:Apache County
98,"""US-WY-035:Sublette County"",",,,3,US-,AZ-,003,:Cochise County
99,"""US-WY-033:Sheridan County"",",,,5,US-,AZ-,005,:Coconino County
100,"""US-WY-031:Platte County"",",,,7,US-,AZ-,007,:Gila County
101,"""US-WY-029:Park County"",",,,9,US-,AZ-,009,:Graham County
102,"""US-WY-027:Niobrara County"",",,,11,US-,AZ-,011,:Greenlee County
103,"""US-WY-025:Natrona County"",",,,12,US-,AZ-,012,:La Paz County
104,"""US-WY-023:Lincoln County"",",,,13,US-,AZ-,013,:Maricopa County
105,"""US-WY-021:Laramie County"",",,,15,US-,AZ-,015,:Mohave County
106,"""US-WY-019:Johnson County"",",,,17,US-,AZ-,017,:Navajo County
107,"""US-WY-017:Hot Springs County"",",,,19,US-,AZ-,019,:Pima County
108,"""US-WY-015:Goshen County"",",,,21,US-,AZ-,021,:Pinal County
109,"""US-WY-013:Fremont County"",",,,23,US-,AZ-,023,:Santa Cruz County
110,"""US-WY-011:Crook County"",",,,25,US-,AZ-,025,:Yavapai County
111,"""US-WY-009:Converse County"",",,,27,US-,AZ-,027,:Yuma County
112,"""US-WY-007:Carbon County"",",,,1,US-,AR-,001,:Arkansas County
113,"""US-WY-005:Campbell County"",",,,3,US-,AR-,003,:Ashley County
114,"""US-WY-003:Big Horn County"",",,,5,US-,AR-,005,:Baxter County
115,"""US-WY-001:Albany County"",",,,7,US-,AR-,007,:Benton County
116,"""US-WI-141:Wood County"",",,,9,US-,AR-,009,:Boone County
117,"""US-WI-139:Winnebago County"",",,,11,US-,AR-,011,:Bradley County
118,"""US-WI-137:Waushara County"",",,,13,US-,AR-,013,:Calhoun County
119,"""US-WI-135:Waupaca County"",",,,15,US-,AR-,015,:Carroll County
120,"""US-WI-133:Waukesha County"",",,,17,US-,AR-,017,:Chicot County
121,"""US-WI-131:Washington County"",",,,19,US-,AR-,019,:Clark County
122,"""US-WI-129:Washburn County"",",,,21,US-,AR-,021,:Clay County
123,"""US-WI-127:Walworth County"",",,,23,US-,AR-,023,:Cleburne County
124,"""US-WI-125:Vilas County"",",,,25,US-,AR-,025,:Cleveland County
125,"""US-WI-123:Vernon County"",",,,27,US-,AR-,027,:Columbia County
126,"""US-WI-121:Trempealeau County"",",,,29,US-,AR-,029,:Conway County
127,"""US-WI-119:Taylor County"",",,,31,US-,AR-,031,:Craighead County
128,"""US-WI-117:Sheboygan County"",",,,33,US-,AR-,033,:Crawford County
129,"""US-WI-115:Shawano County"",",,,35,US-,AR-,035,:Crittenden County
130,"""US-WI-113:Sawyer County"",",,,37,US-,AR-,037,:Cross County
131,"""US-WI-111:Sauk County"",",,,39,US-,AR-,039,:Dallas County
132,"""US-WI-109:St. Croix County"",",,,41,US-,AR-,041,:Desha County
133,"""US-WI-107:Rusk County"",",,,43,US-,AR-,043,:Drew County
134,"""US-WI-105:Rock County"",",,,45,US-,AR-,045,:Faulkner County
135,"""US-WI-103:Richland County"",",,,47,US-,AR-,047,:Franklin County
136,"""US-WI-101:Racine County"",",,,49,US-,AR-,049,:Fulton County
137,"""US-WI-099:Price County"",",,,51,US-,AR-,051,:Garland County
138,"""US-WI-097:Portage County"",",,,53,US-,AR-,053,:Grant County
139,"""US-WI-095:Polk County"",",,,55,US-,AR-,055,:Greene County
140,"""US-WI-093:Pierce County"",",,,57,US-,AR-,057,:Hempstead County
141,"""US-WI-091:Pepin County"",",,,59,US-,AR-,059,:Hot Spring County
142,"""US-WI-089:Ozaukee County"",",,,61,US-,AR-,061,:Howard County
143,"""US-WI-087:Outagamie County"",",,,63,US-,AR-,063,:Independence County
144,"""US-WI-085:Oneida County"",",,,65,US-,AR-,065,:Izard County
145,"""US-WI-083:Oconto County"",",,,67,US-,AR-,067,:Jackson County
146,"""US-WI-081:Monroe County"",",,,69,US-,AR-,069,:Jefferson County
147,"""US-WI-079:Milwaukee County"",",,,71,US-,AR-,071,:Johnson County
148,"""US-WI-078:Menominee County"",",,,73,US-,AR-,073,:Lafayette County
149,"""US-WI-077:Marquette County"",",,,75,US-,AR-,075,:Lawrence County
150,"""US-WI-075:Marinette County"",",,,77,US-,AR-,077,:Lee County
151,"""US-WI-073:Marathon County"",",,,79,US-,AR-,079,:Lincoln County
152,"""US-WI-071:Manitowoc County"",",,,81,US-,AR-,081,:Little River County
153,"""US-WI-069:Lincoln County"",",,,83,US-,AR-,083,:Logan County
154,"""US-WI-067:Langlade County"",",,,85,US-,AR-,085,:Lonoke County
155,"""US-WI-065:Lafayette County"",",,,87,US-,AR-,087,:Madison County
156,"""US-WI-063:La Crosse County"",",,,89,US-,AR-,089,:Marion County
157,"""US-WI-061:Kewaunee County"",",,,91,US-,AR-,091,:Miller County
158,"""US-WI-059:Kenosha County"",",,,93,US-,AR-,093,:Mississippi County
159,"""US-WI-057:Juneau County"",",,,95,US-,AR-,095,:Monroe County
160,"""US-WI-055:Jefferson County"",",,,97,US-,AR-,097,:Montgomery County
161,"""US-WI-053:Jackson County"",",,,99,US-,AR-,099,:Nevada County
162,"""US-WI-051:Iron County"",",,,101,US-,AR-,101,:Newton County
163,"""US-WI-049:Iowa County"",",,,103,US-,AR-,103,:Ouachita County
164,"""US-WI-047:Green Lake County"",",,,105,US-,AR-,105,:Perry County
165,"""US-WI-045:Green County"",",,,107,US-,AR-,107,:Phillips County
166,"""US-WI-043:Grant County"",",,,109,US-,AR-,109,:Pike County
167,"""US-WI-041:Forest County"",",,,111,US-,AR-,111,:Poinsett County
168,"""US-WI-039:Fond du Lac County"",",,,113,US-,AR-,113,:Polk County
169,"""US-WI-037:Florence County"",",,,115,US-,AR-,115,:Pope County
170,"""US-WI-035:Eau Claire County"",",,,117,US-,AR-,117,:Prairie County
171,"""US-WI-033:Dunn County"",",,,119,US-,AR-,119,:Pulaski County
172,"""US-WI-031:Douglas County"",",,,121,US-,AR-,121,:Randolph County
173,"""US-WI-029:Door County"",",,,123,US-,AR-,123,:St. Francis County
174,"""US-WI-027:Dodge County"",",,,125,US-,AR-,125,:Saline County
175,"""US-WI-025:Dane County"",",,,127,US-,AR-,127,:Scott County
176,"""US-WI-023:Crawford County"",",,,129,US-,AR-,129,:Searcy County
177,"""US-WI-021:Columbia County"",",,,131,US-,AR-,131,:Sebastian County
178,"""US-WI-019:Clark County"",",,,133,US-,AR-,133,:Sevier County
179,"""US-WI-017:Chippewa County"",",,,135,US-,AR-,135,:Sharp County
180,"""US-WI-015:Calumet County"",",,,137,US-,AR-,137,:Stone County
181,"""US-WI-013:Burnett County"",",,,139,US-,AR-,139,:Union County
182,"""US-WI-011:Buffalo County"",",,,141,US-,AR-,141,:Van Buren County
183,"""US-WI-009:Brown County"",",,,143,US-,AR-,143,:Washington County
184,"""US-WI-007:Bayfield County"",",,,145,US-,AR-,145,:White County
185,"""US-WI-005:Barron County"",",,,147,US-,AR-,147,:Woodruff County
186,"""US-WI-003:Ashland County"",",,,149,US-,AR-,149,:Yell County
187,"""US-WI-001:Adams County"",",,,1,US-,CA-,001,:Alameda County
188,"""US-WV-109:Wyoming County"",",,,3,US-,CA-,003,:Alpine County
189,"""US-WV-107:Wood County"",",,,5,US-,CA-,005,:Amador County
190,"""US-WV-105:Wirt County"",",,,7,US-,CA-,007,:Butte County
191,"""US-WV-103:Wetzel County"",",,,9,US-,CA-,009,:Calaveras County
192,"""US-WV-101:Webster County"",",,,11,US-,CA-,011,:Colusa County
193,"""US-WV-099:Wayne County"",",,,13,US-,CA-,013,:Contra Costa County
194,"""US-WV-097:Upshur County"",",,,15,US-,CA-,015,:Del Norte County
195,"""US-WV-095:Tyler County"",",,,17,US-,CA-,017,:El Dorado County
196,"""US-WV-093:Tucker County"",",,,19,US-,CA-,019,:Fresno County
197,"""US-WV-091:Taylor County"",",,,21,US-,CA-,021,:Glenn County
198,"""US-WV-089:Summers County"",",,,23,US-,CA-,023,:Humboldt County
199,"""US-WV-087:Roane County"",",,,25,US-,CA-,025,:Imperial County
200,"""US-WV-085:Ritchie County"",",,,27,US-,CA-,027,:Inyo County
201,"""US-WV-083:Randolph County"",",,,29,US-,CA-,029,:Kern County
202,"""US-WV-081:Raleigh County"",",,,31,US-,CA-,031,:Kings County
203,"""US-WV-079:Putnam County"",",,,33,US-,CA-,033,:Lake County
204,"""US-WV-077:Preston County"",",,,35,US-,CA-,035,:Lassen County
205,"""US-WV-075:Pocahontas County"",",,,37,US-,CA-,037,:Los Angeles County
206,"""US-WV-073:Pleasants County"",",,,39,US-,CA-,039,:Madera County
207,"""US-WV-071:Pendleton County"",",,,41,US-,CA-,041,:Marin County
208,"""US-WV-069:Ohio County"",",,,43,US-,CA-,043,:Mariposa County
209,"""US-WV-067:Nicholas County"",",,,45,US-,CA-,045,:Mendocino County
210,"""US-WV-065:Morgan County"",",,,47,US-,CA-,047,:Merced County
211,"""US-WV-063:Monroe County"",",,,49,US-,CA-,049,:Modoc County
212,"""US-WV-061:Monongalia County"",",,,51,US-,CA-,051,:Mono County
213,"""US-WV-059:Mingo County"",",,,53,US-,CA-,053,:Monterey County
214,"""US-WV-057:Mineral County"",",,,55,US-,CA-,055,:Napa County
215,"""US-WV-055:Mercer County"",",,,57,US-,CA-,057,:Nevada County
216,"""US-WV-053:Mason County"",",,,59,US-,CA-,059,:Orange County
217,"""US-WV-051:Marshall County"",",,,61,US-,CA-,061,:Placer County
218,"""US-WV-049:Marion County"",",,,63,US-,CA-,063,:Plumas County
219,"""US-WV-047:McDowell County"",",,,65,US-,CA-,065,:Riverside County
220,"""US-WV-045:Logan County"",",,,67,US-,CA-,067,:Sacramento County
221,"""US-WV-043:Lincoln County"",",,,69,US-,CA-,069,:San Benito County
222,"""US-WV-041:Lewis County"",",,,71,US-,CA-,071,:San Bernardino County
223,"""US-WV-039:Kanawha County"",",,,73,US-,CA-,073,:San Diego County
224,"""US-WV-037:Jefferson County"",",,,75,US-,CA-,075,:San Francisco County
225,"""US-WV-035:Jackson County"",",,,77,US-,CA-,077,:San Joaquin County
226,"""US-WV-033:Harrison County"",",,,79,US-,CA-,079,:San Luis Obispo County
227,"""US-WV-031:Hardy County"",",,,81,US-,CA-,081,:San Mateo County
228,"""US-WV-029:Hancock County"",",,,83,US-,CA-,083,:Santa Barbara County
229,"""US-WV-027:Hampshire County"",",,,85,US-,CA-,085,:Santa Clara County
230,"""US-WV-025:Greenbrier County"",",,,87,US-,CA-,087,:Santa Cruz County
231,"""US-WV-023:Grant County"",",,,89,US-,CA-,089,:Shasta County
232,"""US-WV-021:Gilmer County"",",,,91,US-,CA-,091,:Sierra County
233,"""US-WV-019:Fayette County"",",,,93,US-,CA-,093,:Siskiyou County
234,"""US-WV-017:Doddridge County"",",,,95,US-,CA-,095,:Solano County
235,"""US-WV-015:Clay County"",",,,97,US-,CA-,097,:Sonoma County
236,"""US-WV-013:Calhoun County"",",,,99,US-,CA-,099,:Stanislaus County
237,"""US-WV-011:Cabell County"",",,,101,US-,CA-,101,:Sutter County
238,"""US-WV-009:Brooke County"",",,,103,US-,CA-,103,:Tehama County
239,"""US-WV-007:Braxton County"",",,,105,US-,CA-,105,:Trinity County
240,"""US-WV-005:Boone County"",",,,107,US-,CA-,107,:Tulare County
241,"""US-WV-003:Berkeley County"",",,,109,US-,CA-,109,:Tuolumne County
242,"""US-WV-001:Barbour County"",",,,111,US-,CA-,111,:Ventura County
243,"""US-WA-077:Yakima County"",",,,113,US-,CA-,113,:Yolo County
244,"""US-WA-075:Whitman County"",",,,115,US-,CA-,115,:Yuba County
245,"""US-WA-073:Whatcom County"",",,,1,US-,CO-,001,:Adams County
246,"""US-WA-071:Walla Walla County"",",,,3,US-,CO-,003,:Alamosa County
247,"""US-WA-069:Wahkiakum County"",",,,5,US-,CO-,005,:Arapahoe County
248,"""US-WA-067:Thurston County"",",,,7,US-,CO-,007,:Archuleta County
249,"""US-WA-065:Stevens County"",",,,9,US-,CO-,009,:Baca County
250,"""US-WA-063:Spokane County"",",,,11,US-,CO-,011,:Bent County
251,"""US-WA-061:Snohomish County"",",,,13,US-,CO-,013,:Boulder County
252,"""US-WA-059:Skamania County"",",,,14,US-,CO-,014,:Broomfield County
253,"""US-WA-057:Skagit County"",",,,15,US-,CO-,015,:Chaffee County
254,"""US-WA-055:San Juan County"",",,,17,US-,CO-,017,:Cheyenne County
255,"""US-WA-053:Pierce County"",",,,19,US-,CO-,019,:Clear Creek County
256,"""US-WA-051:Pend Oreille County"",",,,21,US-,CO-,021,:Conejos County
257,"""US-WA-049:Pacific County"",",,,23,US-,CO-,023,:Costilla County
258,"""US-WA-047:Okanogan County"",",,,25,US-,CO-,025,:Crowley County
259,"""US-WA-045:Mason County"",",,,27,US-,CO-,027,:Custer County
260,"""US-WA-043:Lincoln County"",",,,29,US-,CO-,029,:Delta County
261,"""US-WA-041:Lewis County"",",,,31,US-,CO-,031,:Denver County
262,"""US-WA-039:Klickitat County"",",,,33,US-,CO-,033,:Dolores County
263,"""US-WA-037:Kittitas County"",",,,35,US-,CO-,035,:Douglas County
264,"""US-WA-035:Kitsap County"",",,,37,US-,CO-,037,:Eagle County
265,"""US-WA-033:King County"",",,,39,US-,CO-,039,:Elbert County
266,"""US-WA-031:Jefferson County"",",,,41,US-,CO-,041,:El Paso County
267,"""US-WA-029:Island County"",",,,43,US-,CO-,043,:Fremont County
268,"""US-WA-027:Grays Harbor County"",",,,45,US-,CO-,045,:Garfield County
269,"""US-WA-025:Grant County"",",,,47,US-,CO-,047,:Gilpin County
270,"""US-WA-023:Garfield County"",",,,49,US-,CO-,049,:Grand County
271,"""US-WA-021:Franklin County"",",,,51,US-,CO-,051,:Gunnison County
272,"""US-WA-019:Ferry County"",",,,53,US-,CO-,053,:Hinsdale County
273,"""US-WA-017:Douglas County"",",,,55,US-,CO-,055,:Huerfano County
274,"""US-WA-015:Cowlitz County"",",,,57,US-,CO-,057,:Jackson County
275,"""US-WA-013:Columbia County"",",,,59,US-,CO-,059,:Jefferson County
276,"""US-WA-011:Clark County"",",,,61,US-,CO-,061,:Kiowa County
277,"""US-WA-009:Clallam County"",",,,63,US-,CO-,063,:Kit Carson County
278,"""US-WA-007:Chelan County"",",,,65,US-,CO-,065,:Lake County
279,"""US-WA-005:Benton County"",",,,67,US-,CO-,067,:La Plata County
280,"""US-WA-003:Asotin County"",",,,69,US-,CO-,069,:Larimer County
281,"""US-WA-001:Adams County"",",,,71,US-,CO-,071,:Las Animas County
282,"""US-VA-840:Winchester city"",",,,73,US-,CO-,073,:Lincoln County
283,"""US-VA-830:Williamsburg city"",",,,75,US-,CO-,075,:Logan County
284,"""US-VA-820:Waynesboro city"",",,,77,US-,CO-,077,:Mesa County
285,"""US-VA-810:Virginia Beach city"",",,,79,US-,CO-,079,:Mineral County
286,"""US-VA-800:Suffolk city"",",,,81,US-,CO-,081,:Moffat County
287,"""US-VA-790:Staunton city"",",,,83,US-,CO-,083,:Montezuma County
288,"""US-VA-775:Salem city"",",,,85,US-,CO-,085,:Montrose County
289,"""US-VA-770:Roanoke city"",",,,87,US-,CO-,087,:Morgan County
290,"""US-VA-760:Richmond city"",",,,89,US-,CO-,089,:Otero County
291,"""US-VA-750:Radford city"",",,,91,US-,CO-,091,:Ouray County
292,"""US-VA-740:Portsmouth city"",",,,93,US-,CO-,093,:Park County
293,"""US-VA-735:Poquoson city"",",,,95,US-,CO-,095,:Phillips County
294,"""US-VA-730:Petersburg city"",",,,97,US-,CO-,097,:Pitkin County
295,"""US-VA-720:Norton city"",",,,99,US-,CO-,099,:Prowers County
296,"""US-VA-710:Norfolk city"",",,,101,US-,CO-,101,:Pueblo County
297,"""US-VA-700:Newport News city"",",,,103,US-,CO-,103,:Rio Blanco County
298,"""US-VA-690:Martinsville city"",",,,105,US-,CO-,105,:Rio Grande County
299,"""US-VA-685:Manassas Park city"",",,,107,US-,CO-,107,:Routt County
300,"""US-VA-683:Manassas city"",",,,109,US-,CO-,109,:Saguache County
301,"""US-VA-680:Lynchburg city"",",,,111,US-,CO-,111,:San Juan County
302,"""US-VA-678:Lexington city"",",,,113,US-,CO-,113,:San Miguel County
303,"""US-VA-670:Hopewell city"",",,,115,US-,CO-,115,:Sedgwick County
304,"""US-VA-660:Harrisonburg city"",",,,117,US-,CO-,117,:Summit County
305,"""US-VA-650:Hampton city"",",,,119,US-,CO-,119,:Teller County
306,"""US-VA-640:Galax city"",",,,121,US-,CO-,121,:Washington County
307,"""US-VA-630:Fredericksburg city"",",,,123,US-,CO-,123,:Weld County
308,"""US-VA-620:Franklin city"",",,,125,US-,CO-,125,:Yuma County
309,"""US-VA-610:Falls Church city"",",,,1,US-,CT-,001,:Fairfield County
310,"""US-VA-600:Fairfax city"",",,,3,US-,CT-,003,:Hartford County
311,"""US-VA-595:Emporia city"",",,,5,US-,CT-,005,:Litchfield County
312,"""US-VA-590:Danville city"",",,,7,US-,CT-,007,:Middlesex County
313,"""US-VA-580:Covington city"",",,,9,US-,CT-,009,:New Haven County
314,"""US-VA-570:Colonial Heights city"",",,,11,US-,CT-,011,:New London County
315,"""US-VA-550:Chesapeake city"",",,,13,US-,CT-,013,:Tolland County
316,"""US-VA-540:Charlottesville city"",",,,15,US-,CT-,015,:Windham County
317,"""US-VA-530:Buena Vista city"",",,,1,US-,DE-,001,:Kent County
318,"""US-VA-520:Bristol city"",",,,3,US-,DE-,003,:New Castle County
319,"""US-VA-515:Bedford city"",",,,5,US-,DE-,005,:Sussex County
320,"""US-VA-510:Alexandria city"",",,,1,US-,DC-,001,:District of Columbia
321,"""US-VA-199:York County"",",,,1,US-,FL-,001,:Alachua County
322,"""US-VA-197:Wythe County"",",,,3,US-,FL-,003,:Baker County
323,"""US-VA-195:Wise County"",",,,5,US-,FL-,005,:Bay County
324,"""US-VA-193:Westmoreland County"",",,,7,US-,FL-,007,:Bradford County
325,"""US-VA-191:Washington County"",",,,9,US-,FL-,009,:Brevard County
326,"""US-VA-187:Warren County"",",,,11,US-,FL-,011,:Broward County
327,"""US-VA-185:Tazewell County"",",,,13,US-,FL-,013,:Calhoun County
328,"""US-VA-183:Sussex County"",",,,15,US-,FL-,015,:Charlotte County
329,"""US-VA-181:Surry County"",",,,17,US-,FL-,017,:Citrus County
330,"""US-VA-179:Stafford County"",",,,19,US-,FL-,019,:Clay County
331,"""US-VA-177:Spotsylvania County"",",,,21,US-,FL-,021,:Collier County
332,"""US-VA-175:Southampton County"",",,,23,US-,FL-,023,:Columbia County
333,"""US-VA-173:Smyth County"",",,,27,US-,FL-,027,:DeSoto County
334,"""US-VA-171:Shenandoah County"",",,,29,US-,FL-,029,:Dixie County
335,"""US-VA-169:Scott County"",",,,31,US-,FL-,031,:Duval County
336,"""US-VA-167:Russell County"",",,,33,US-,FL-,033,:Escambia County
337,"""US-VA-165:Rockingham County"",",,,35,US-,FL-,035,:Flagler County
338,"""US-VA-163:Rockbridge County"",",,,37,US-,FL-,037,:Franklin County
339,"""US-VA-161:Roanoke County"",",,,39,US-,FL-,039,:Gadsden County
340,"""US-VA-159:Richmond County"",",,,41,US-,FL-,041,:Gilchrist County
341,"""US-VA-157:Rappahannock County"",",,,43,US-,FL-,043,:Glades County
342,"""US-VA-155:Pulaski County"",",,,45,US-,FL-,045,:Gulf County
343,"""US-VA-153:Prince William County"",",,,47,US-,FL-,047,:Hamilton County
